,订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现
13409,DD20170320033319714301BDE93D4,E43A6E078A04134,2.5,2.5,芬达330ml,2017/6/6 4:18,B,已出货未退款,已提现
13413,DD2017032009074332F1A5BDC0788,E43A6E078A04134,3.0,3.0,卫龙大面筋,2017/6/6 4:20,B,已出货未退款,已提现
13416,DD201708167493226846470247196,E43A6E078A04134,3.5,3.5,250ml燕塘原味酸奶,2017/6/6 4:57,B,已出货未退款,已提现
13428,DD201708167493473647830979653,E43A6E078A04134,4.5,4.5,65g卫龙亲嘴豆皮,2017/6/6 8:02,B,已出货未退款,已提现
13429,DD2017080421325842556FE3BF6CD,E43A6E078A04134,5.0,5.0,王老吉（500ml）,2017/6/6 8:02,B,已出货未退款,已提现
13433,DD20170320133448373F570DD1348,E43A6E078A04134,3.5,3.5,东鹏特饮,2017/6/6 8:19,B,已出货未退款,已提现
13438,DD2017080421315317892F758AD5F,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/6 8:32,B,已出货未退款,已提现
13439,DD20170804213008195DCC43594EF,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/6 8:34,B,已出货未退款,已提现
13445,DD2017032014295810C63F38C7F47,E43A6E078A04134,2.5,2.5,维他柠檬茶,2017/6/6 8:56,B,已出货未退款,已提现
13447,DD20170804212235571F0A3B59578,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/6 9:10,B,已出货未退款,已提现
13455,DD20170809200704372F14F9D55F4,E43A6E078A04134,3.0,3.0,熊字饼,2017/6/6 9:48,B,已出货未退款,已提现
13457,DD201708167493227386850020793,E43A6E078A04134,1.6,1.6,20g咪咪虾条马来西亚风味,2017/6/6 9:50,B,已出货未退款,已提现
13463,DD2017032014302021A7652195540,E43A6E078A04134,4.5,4.5,阿萨姆奶茶,2017/6/6 10:28,B,已出货未退款,已提现
13465,DD201703201540013264E783181D1,E43A6E078A04134,3.5,3.5,东鹏特饮,2017/6/6 10:42,B,已出货未退款,已提现
13469,DD201708167493543006135739562,E43A6E078A04134,7.0,7.0,145g果王迷你山楂包装,2017/6/6 10:55,B,已出货未退款,已提现
13470,DD2017032015545141945BF9A86AF,E43A6E078A04134,3.0,3.0,维他柠檬茶,2017/6/6 10:58,B,已出货未退款,已提现
13477,DD201708061459009650D8BF5E23A,E43A6E078A04134,2.0,2.0,怡宝纯净水,2017/6/6 11:29,B,已出货未退款,已提现
13481,DD201708167493227845113615877,E43A6E078A04134,1.8,1.8,32g卫龙亲嘴烧,2017/6/6 11:43,B,已出货未退款,已提现
13485,DD201708167493227883814842506,E43A6E078A04134,5.0,5.0,85g统一老坛酸菜牛肉面,2017/6/6 12:04,B,已出货未退款,已提现
13494,DD20170816749322798987125485,E43A6E078A04134,3.0,3.0,70g乖媳妇野山泡椒凤爪,2017/6/6 12:36,B,已出货未退款,已提现
13499,DD201708167493228077748994032,E43A6E078A04134,6.0,6.0,145ml旺仔牛奶盒装,2017/6/6 12:49,B,已出货未退款,已提现
13517,DD201708167493228408134123747,E43A6E078A04134,34.0,34.0,188g澳门永辉鸡仔饼,2017/6/6 13:49,B,已出货未退款,已提现
13520,DD2017032020565088B9E4D8441EE,E43A6E078A04134,4.0,4.0,营养快线,2017/6/6 14:07,B,已出货未退款,已提现
13522,DD201703202218396366F21AF7DD5,E43A6E078A04134,4.0,4.0,阿萨姆奶茶,2017/6/6 14:08,B,已出货未退款,已提现
13524,DD201708167493228658528445403,E43A6E078A04134,5.0,5.0,48g好丽友薯愿香烤原味,2017/6/6 14:20,B,已出货未退款,已提现
13527,DD201708167493834128639056776,E43A6E078A04134,2.5,2.5,250ml维他原味豆奶,2017/6/6 14:22,B,已出货未退款,已提现
13528,DD201708167493389651461111918,E43A6E078A04134,6.5,6.5,430g泰奇八宝粥,2017/6/6 14:22,B,已出货未退款,已提现
13529,DD201708061440516941814C6AD0F,E43A6E078A04134,2.5,2.5,伊利优酸乳,2017/6/6 14:22,B,已出货未退款,已提现
13533,DD201703210141537572FA474EF90,E43A6E078A04134,4.0,4.0,阿萨姆奶茶,2017/6/6 14:52,B,已出货未退款,已提现
13535,DD201708167493228825095880272,E43A6E078A04134,3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017/6/6 15:10,B,已出货未退款,已提现
13539,DD20170816749322908729842002,E43A6E078A04134,5.0,5.0,13g无穷烤鸡小腿蜂蜜味,2017/6/6 15:27,B,已出货未退款,已提现
13554,DD2017072414073895450B76E989F,E43A6E078A04134,3.0,3.0,统一冰红茶,2017/6/6 16:55,B,已出货未退款,已提现
13558,DD201708167493568857501430184,E43A6E078A04134,4.0,4.0,145ml旺仔牛奶盒装,2017/6/6 17:18,B,已出货未退款,已提现
13565,DD2017032101582972FA353947C31,E43A6E078A04134,3.0,3.0,统一冰红茶,2017/6/6 17:33,B,已出货未退款,已提现
13567,DD201708167493651956528212553,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/6/6 17:58,B,已出货未退款,已提现
13576,DD20170520102618474975BB21E18,E43A6E078A04134,3.0,3.0,统一冰红茶,2017/6/6 18:44,B,已出货未退款,已提现
13582,DD201705200439146754D5BAEFC25,E43A6E078A04134,4.0,4.0,王老吉（500ml）,2017/6/6 18:49,B,已出货未退款,已提现
13584,DD20170816749350407637494271,E43A6E078A04134,3.0,3.0,70g乖媳妇野山泡椒凤爪,2017/6/6 18:58,B,已出货未退款,已提现
13585,DD201708167493764092024107105,E43A6E078A04134,3.0,3.0,无穷烤鸡小腿（蜂蜜）,2017/6/6 18:58,B,已出货未退款,已提现
13586,DD2017080918340122B067AEBF4E2,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/6 18:58,B,已出货未退款,已提现
13591,DD2017080918193323DAB82A86C37,E43A6E078A04134,1.5,1.5,香豆干,2017/6/6 19:04,B,已出货未退款,已提现
13597,DD201708167493229502268976674,E43A6E078A04134,0.6,0.6,咪咪虾条马来西亚风味,2017/6/6 19:16,B,已出货未退款,已提现
13607,DD201708167493834437796431509,E43A6E078A04134,2.5,2.5,250ml维他柠檬茶,2017/6/6 20:14,B,已出货未退款,已提现
13608,DD20170809181336758F696857BB9,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/6 20:14,B,已出货未退款,已提现
13610,DD201708167493229936308403517,E43A6E078A04134,2.5,2.5,145ml旺仔牛奶盒装,2017/6/6 20:17,B,已出货未退款,已提现
13614,DD201708167493764357736077619,E43A6E078A04134,3.0,3.0,55g奥利奥原味芝士饼干,2017/6/6 20:27,B,已出货未退款,已提现
13615,DD20170809175157670DE3601E400,E43A6E078A04134,4.0,4.0,脉动,2017/6/6 20:27,B,已出货未退款,已提现
13618,DD201708167493230044153316537,E43A6E078A04134,3.0,3.0,无穷烤鸡小腿（蜂蜜）,2017/6/6 20:36,B,已出货未退款,已提现
13621,DD201705221753334998FEEF71877,E43A6E078A04134,2.0,2.0,怡宝纯净水,2017/6/6 20:40,B,已出货未退款,已提现
13625,DD20170816749323016879168681,E43A6E078A04134,4.5,4.5,250ml燕塘红枣牛奶,2017/6/6 20:55,B,已出货未退款,已提现
13627,DD201708167493230188433944181,E43A6E078A04134,4.0,4.0,450ml美汁源果粒橙,2017/6/6 20:57,B,已出货未退款,已提现
13633,DD201705221753077167C81A161FD,E43A6E078A04134,3.0,3.0,雪碧（500ml）,2017/6/6 21:05,B,已出货未退款,已提现
13639,DD201708167493542834428479752,E43A6E078A04134,5.0,5.0,268ml雀巢咖啡丝滑拿铁,2017/6/6 21:13,B,已出货未退款,已提现
13645,DD2017080917412690C229295441B,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/6 21:18,B,已出货未退款,已提现
13653,DD2017051720063171A49C4C51F6D,E43A6E078A04134,3.5,3.5,东鹏特饮,2017/6/6 21:37,B,已出货未退款,已提现
13659,DD201708167493492187911991925,E43A6E078A04134,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/6/6 22:01,B,已出货未退款,已提现
13660,DD2017080917403678ED48FD6E851,E43A6E078A04134,4.0,4.0,统一冰红茶,2017/6/6 22:01,B,已出货未退款,已提现
13676,DD201708167493834504456034545,E43A6E078A04134,2.5,2.5,145ml旺仔牛奶盒装,2017/6/6 22:48,B,已出货未退款,已提现
13677,DD201708167493503557647202362,E43A6E078A04134,6.5,6.5,250ml红牛,2017/6/6 22:48,B,已出货未退款,已提现
13678,DD201708167493492061721528783,E43A6E078A04134,3.0,3.0,250ml维他柠檬茶,2017/6/6 22:48,B,已出货未退款,已提现
13679,DD201708167493503699519773601,E43A6E078A04134,7.0,7.0,合味道（浓猪骨）,2017/6/6 22:48,B,已出货未退款,已提现
13680,DD201708091730227096BD0E49099,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/6 22:48,B,已出货未退款,已提现
13683,DD201708167493483432748573117,E43A6E078A04134,12.0,12.0,450ml美汁源果粒橙,2017/6/6 22:49,B,已出货未退款,已提现
13684,DD20170816749348343067400177,E43A6E078A04134,5.5,5.5,85g统一老坛酸菜牛肉面,2017/6/6 22:49,B,已出货未退款,已提现
13685,DD20170809172724112F1B55A4492,E43A6E078A04134,4.0,4.0,果粒橙,2017/6/6 22:49,B,已出货未退款,已提现
13688,DD201708167493491993004279291,E43A6E078A04134,6.5,6.5,430g泰奇八宝粥,2017/6/6 22:53,B,已出货未退款,已提现
13689,DD201705221631361354B5EB97022,E43A6E078A04134,3.5,3.5,统一冰红茶,2017/6/6 22:53,B,已出货未退款,已提现
13692,DD20170816749323077667956624,E43A6E078A04134,6.5,6.5,91g徐福记凤梨酥,2017/6/6 23:07,B,已出货未退款,已提现
13693,DD201708167493230914579212734,E43A6E078A04134,3.0,3.0,70g乖媳妇野山泡椒凤爪,2017/6/6 23:08,B,已出货未退款,已提现
13697,DD201708167493231016298632678,E43A6E078A04134,3.0,3.0,无穷烤鸡小腿（蜂蜜）,2017/6/6 23:19,B,已出货未退款,已提现
13702,DD201708167493390356099225443,E43A6E078A04134,4.5,4.5,40g乐事美国经典原味,2017/6/7 0:06,B,已出货未退款,已提现
13703,DD201708091718078531FBD33237E,E43A6E078A04134,4.0,4.0,果粒橙,2017/6/7 0:06,B,已出货未退款,已提现
13708,DD201708167493231217747401776,E43A6E078A04134,6.0,6.0,370g泰奇八宝粥,2017/6/7 0:21,B,已出货未退款,已提现
13711,DD201708167493231283516965647,E43A6E078A04134,1.5,1.5,40g双汇玉米热狗肠,2017/6/7 1:07,B,已出货未退款,已提现
13713,DD201708167493231416971966534,E43A6E078A04134,3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017/6/7 1:40,B,已出货未退款,已提现
13716,DD201708167493231509534308316,E43A6E078A04134,4.0,4.0,500ml统一阿萨姆奶茶,2017/6/7 2:08,B,已出货未退款,已提现
13721,DD20170816749323172907777012,E43A6E078A04134,1.5,1.5,40g双汇玉米热狗肠,2017/6/7 3:07,B,已出货未退款,已提现
13722,DD201708167493231769867191799,E43A6E078A04134,4.5,4.5,65g卫龙亲嘴豆皮,2017/6/7 3:16,B,已出货未退款,已提现
13735,DD201708167493232100855120684,E43A6E078A04134,4.5,4.5,250ml燕塘原味酸奶,2017/6/7 7:32,B,已出货未退款,已提现
13743,DD2017072416053528EFD132BB43E,E43A6E078A04134,1.5,1.5,鸭翅,2017/6/7 7:49,B,已出货未退款,已提现
13750,DD201708167493434238353601723,E43A6E078A04134,1.5,1.5,40g双汇玉米热狗肠,2017/6/7 7:55,B,已出货未退款,已提现
13751,DD20170724160626971629B055D43,E43A6E078A04134,1.5,1.5,鸭翅,2017/6/7 7:55,B,已出货未退款,已提现
13752,DD2017032118502837348688BE291,E43A6E078A04134,2.0,2.0,伊利优酸乳,2017/6/7 7:57,B,已出货未退款,已提现
13755,DD201708167493232544853762716,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/6/7 8:02,B,已出货未退款,已提现
13756,DD2017032200233323206B37D00D0,E43A6E078A04134,2.5,2.5,伊利优酸乳,2017/6/7 8:03,B,已出货未退款,已提现
13761,DD201708167493232623516515305,E43A6E078A04134,7.0,7.0,340ml蒙牛优益C乳酸菌,2017/6/7 8:18,B,已出货未退款,已提现
13771,DD201708167493483283700526587,E43A6E078A04134,5.5,5.5,268ml雀巢咖啡丝滑拿铁,2017/6/7 8:59,B,已出货未退款,已提现
13772,DD2017080605072139A6DAF49A6DD,E43A6E078A04134,4.5,4.5,脉动,2017/6/7 8:59,B,已出货未退款,已提现
13781,DD2017080917164530696949FCA38,E43A6E078A04134,4.0,4.0,统一冰红茶,2017/6/7 9:33,B,已出货未退款,已提现
13782,DD2017051922483812CF5FB7838A6,E43A6E078A04134,15.0,15.0,口味王槟榔（红）,2017/6/7 9:41,B,已出货未退款,已提现
13788,DD2017032202280818861A00BD08F,E43A6E078A04134,3.0,3.0,统一绿茶,2017/6/7 10:09,B,已出货未退款,已提现
13804,DD201708167493810185062227465,E43A6E078A04134,2.8,2.8,250ml维他原味豆奶,2017/6/7 12:06,B,已出货未退款,已提现
13805,DD201708060440022959E0A808D14,E43A6E078A04134,4.0,4.0,银鹭八宝粥,2017/6/7 12:06,B,已出货未退款,已提现
13806,DD2017072416415163C3984312185,E43A6E078A04134,4.0,4.0,营养快线,2017/6/7 12:07,B,已出货未退款,已提现
13808,DD2017032211335630BA6AB84DB62,E43A6E078A04134,3.5,3.5,东鹏特饮,2017/6/7 12:08,B,已出货未退款,已提现
13811,DD2017081674932337121638684,E43A6E078A04134,4.5,4.5,78g卫龙亲嘴语辣条,2017/6/7 12:10,B,已出货未退款,已提现
13812,DD201708167493233717116761237,E43A6E078A04134,3.5,3.5,40g上好佳日式鱼果,2017/6/7 12:11,B,已出货未退款,已提现
13813,DD201708167493233811792285964,E43A6E078A04134,4.8,4.8,诗竹竹纤维面巾纸,2017/6/7 12:12,B,已出货未退款,已提现
13814,DD201708167493391258727009887,E43A6E078A04134,4.5,4.5,250ml燕塘甜牛奶,2017/6/7 12:13,B,已出货未退款,已提现
13815,DD20170724164624925494B8414AD,E43A6E078A04134,6.0,6.0,红牛,2017/6/7 12:13,B,已出货未退款,已提现
13821,DD2017032212132769F6DDCC02A9B,E43A6E078A04134,5.0,5.0,天地一号,2017/6/7 12:19,B,已出货未退款,已提现
13825,DD201708167493233967907215007,E43A6E078A04134,4.5,4.5,250ml燕塘甜牛奶,2017/6/7 12:23,B,已出货未退款,已提现
13826,DD201708167493234069196517186,E43A6E078A04134,1.6,1.6,2g韩国海牌海苔,2017/6/7 12:25,B,已出货未退款,已提现
13828,DD201708167493457042996638496,E43A6E078A04134,1.5,1.5,40g双汇玉米热狗肠,2017/6/7 12:29,B,已出货未退款,已提现
13829,DD201708042052551849482B10395,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/7 12:29,B,已出货未退款,已提现
13830,DD201708167493391412385064157,E43A6E078A04134,2.0,2.0,30g无穷农场盐_鸡蛋,2017/6/7 12:40,B,已出货未退款,已提现
13831,DD201707241647346809900DA8CE5,E43A6E078A04134,15.0,15.0,口味王槟榔（红）,2017/6/7 12:40,B,已出货未退款,已提现
13837,DD20170724164823516818A3408B2,E43A6E078A04134,4.0,4.0,王老吉（500ml）,2017/6/7 13:00,B,已出货未退款,已提现
13847,DD201708167493234542220959444,E43A6E078A04134,5.5,5.5,430g泰奇八宝粥,2017/6/7 13:08,B,已出货未退款,已提现
13848,DD201708167493810293904545605,E43A6E078A04134,2.8,2.8,250ml维他原味豆奶,2017/6/7 13:25,B,已出货未退款,已提现
13849,DD20170809171555844B86C425F6B,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/7 13:25,B,已出货未退款,已提现
13853,DD201703221902461161C536932E7,E43A6E078A04134,1.2,1.2,手撕素肉排,2017/6/7 13:28,B,已出货未退款,已提现
13867,DD201708167493234800029727265,E43A6E078A04134,6.5,6.5,91g徐福记凤梨酥,2017/6/7 14:01,B,已出货未退款,已提现
13880,DD2017072417280695D5E0A0C9297,E43A6E078A04134,1.0,1.0,小鱼仔,2017/6/7 14:59,B,已出货未退款,已提现
13883,DD2017052216310272FD14455D298,E43A6E078A04134,3.5,3.5,统一绿茶,2017/6/7 15:05,B,已出货未退款,已提现
13885,DD201703231100459989BA7B3861F,E43A6E078A04134,1.5,1.5,香豆干,2017/6/7 15:17,B,已出货未退款,已提现
13888,DD201708167493391550586904776,E43A6E078A04134,5.4,5.4,32g卫龙亲嘴烧红烧牛肉味,2017/6/7 15:33,B,已出货未退款,已提现
13889,DD20170804205247853118D71358C,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/7 15:33,B,已出货未退款,已提现
13893,DD201708167493508552897094503,E43A6E078A04134,4.0,4.0,85g新麦潮北海道吐司,2017/6/7 15:58,B,已出货未退款,已提现
13894,DD2017081674932352399418721,E43A6E078A04134,5.5,5.5,268ml雀巢咖啡丝滑拿铁,2017/6/7 16:01,B,已出货未退款,已提现
13896,DD2017080420505663AB127DB9CFD,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/7 16:23,B,已出货未退款,已提现
13904,DD20170804205048359350038A74B,E43A6E078A04134,5.0,5.0,王老吉（500ml）,2017/6/7 16:36,B,已出货未退款,已提现
13905,DD2017051922391683AD01DD540F7,E43A6E078A04134,3.0,3.0,统一冰红茶,2017/6/7 16:38,B,已出货未退款,已提现
13907,DD2017080603263856DF7E6D084A6,E43A6E078A04134,3.5,3.5,王老吉（罐）,2017/6/7 16:39,B,已出货未退款,已提现
13912,DD20170804204912485BD968E9748,E43A6E078A04134,4.5,4.5,营养快线,2017/6/7 16:49,B,已出货未退款,已提现
13914,DD2017072417305318B5A10D2741B,E43A6E078A04134,1.5,1.5,鸭翅,2017/6/7 17:35,B,已出货未退款,已提现
13920,DD20170816749323568025245356,E43A6E078A04134,3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017/6/7 17:48,B,已出货未退款,已提现
13922,DD201708167493235732238494862,E43A6E078A04134,6.5,6.5,250ml红牛,2017/6/7 17:53,B,已出货未退款,已提现
13934,DD2017080916273432281FE87B0D2,E43A6E078A04134,3.5,3.5,东鹏特饮,2017/6/7 18:22,B,已出货未退款,已提现
13935,DD201708167493236094925380363,E43A6E078A04134,3.0,3.0,40g双汇玉米热狗肠,2017/6/7 18:26,B,已出货未退款,已提现
13939,DD201708167493236286140138955,E43A6E078A04134,3.0,3.0,250ml维他柠檬茶,2017/6/7 18:37,B,已出货未退款,已提现
13962,DD201708167493236945816960047,E43A6E078A04134,0.8,0.8,20g咪咪虾条马来西亚风味,2017/6/7 20:25,B,已出货未退款,已提现
13965,DD201708167493568305053794893,E43A6E078A04134,2.0,2.0,85g新麦潮北海道吐司,2017/6/7 20:33,B,已出货未退款,已提现
13968,DD2017080420485397247C285E259,E43A6E078A04134,4.5,4.5,营养快线,2017/6/7 20:35,B,已出货未退款,已提现
13969,DD2017080420470814F5187738E8D,E43A6E078A04134,5.0,5.0,雪碧（500ml）,2017/6/7 20:37,B,已出货未退款,已提现
13972,DD2017032402454064DEEAFE48AC8,E43A6E078A04134,4.0,4.0,银鹭八宝粥,2017/6/7 20:38,B,已出货未退款,已提现
13974,DD201708167493508344820819911,E43A6E078A04134,4.5,4.5,40g乐事美国经典原味,2017/6/7 21:01,B,已出货未退款,已提现
13975,DD201708167493483130573576416,E43A6E078A04134,5.0,5.0,145ml旺仔牛奶盒装,2017/6/7 21:04,B,已出货未退款,已提现
13976,DD2017052215405473B693EA5ABC1,E43A6E078A04134,3.5,3.5,雪碧（500ml）,2017/6/7 21:04,B,已出货未退款,已提现
13980,DD201708167493810592209765162,E43A6E078A04134,2.8,2.8,250ml维他原味豆奶,2017/6/7 21:06,B,已出货未退款,已提现
13981,DD2017080420470494EC65C37487B,E43A6E078A04134,4.0,4.0,果粒橙,2017/6/7 21:06,B,已出货未退款,已提现
13985,DD201708167493650260297013229,E43A6E078A04134,15.0,15.0,13g无穷烤鸡小腿蜂蜜味,2017/6/7 21:20,B,已出货未退款,已提现
13993,DD201708167493810669690451915,E43A6E078A04134,2.8,2.8,250ml维他原味豆奶,2017/6/7 21:52,B,已出货未退款,已提现
13994,DD201708167493482780857391775,E43A6E078A04134,1.5,1.5,40g双汇玉米热狗肠,2017/6/7 21:52,B,已出货未退款,已提现
13995,DD2017080915315812DEFA55AE36E,E43A6E078A04134,3.0,3.0,芬达330ml,2017/6/7 21:52,B,已出货未退款,已提现
13996,DD201705192237063179439437ACC,E43A6E078A04134,3.0,3.0,统一冰红茶,2017/6/7 21:57,B,已出货未退款,已提现
14000,DD201708167493567764313236661,E43A6E078A04134,4.0,4.0,600ml脉动青柠,2017/6/7 22:06,B,已出货未退款,已提现
14004,DD201708167493491909503797769,E43A6E078A04134,2.5,2.5,145ml旺仔牛奶盒装,2017/6/7 22:10,B,已出货未退款,已提现
14005,DD2017080915302812995D81CACE4,E43A6E078A04134,3.0,3.0,雪碧最新款,2017/6/7 22:10,B,已出货未退款,已提现
14010,DD201708167493810848033733573,E43A6E078A04134,2.8,2.8,250ml维他原味豆奶,2017/6/7 22:33,B,已出货未退款,已提现
14011,DD2017080420464826F260F874D78,E43A6E078A04134,5.0,5.0,营养快线,2017/6/7 22:33,B,已出货未退款,已提现
14016,DD2017052508091685A2AE7F59203,E43A6E078A04134,3.5,3.5,东鹏特饮,2017/6/7 23:03,B,已出货未退款,已提现
14024,DD20170816749378611002527509,E43A6E078A04134,3.0,3.0,250ml维他奶低糖原味,2017/6/7 23:05,B,已出货未退款,已提现
14025,DD2017052508051834C76712B653D,E43A6E078A04134,6.0,6.0,红牛,2017/6/7 23:05,B,已出货未退款,已提现
14029,DD2017052508045331387322A51C1,E43A6E078A04134,4.0,4.0,阿萨姆奶茶,2017/6/7 23:10,B,已出货未退款,已提现
14034,DD20170816749323757894853335,E43A6E078A04134,1.6,1.6,2g韩国海牌海苔,2017/6/7 23:28,B,已出货未退款,已提现
14038,DD201708167493237668813570571,E43A6E078A04134,5.0,5.0,30g无穷农场盐_鸡蛋,2017/6/7 23:42,B,已出货未退款,已提现
14041,DD20170724184454620F728438D0C,E43A6E078A04134,1.0,1.0,小鱼仔,2017/6/8 0:23,B,已出货未退款,已提现
14050,DD201708167493238018989832982,E43A6E078A04134,4.0,4.0,30g无穷农场盐_鸡蛋,2017/6/8 3:15,B,已出货未退款,已提现
14051,DD20170816749323802814540401,E43A6E078A04134,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/6/8 3:44,B,已出货未退款,已提现
14052,DD201708167493238093207694582,E43A6E078A04134,2.5,2.5,250ml维他柠檬茶,2017/6/8 3:45,B,已出货未退款,已提现
14057,DD20170816749323816291560458,E43A6E078A04134,3.0,3.0,250ml维他柠檬茶,2017/6/8 7:43,B,已出货未退款,已提现
14075,DD2017080914503627F169456D4F0,E43A6E078A04134,3.5,3.5,东鹏特饮,2017/6/8 8:36,B,已出货未退款,已提现
14081,DD201708167493503277499046221,E43A6E078A04134,4.5,4.5,68g好丽友巧克力派2枚,2017/6/8 9:03,B,已出货未退款,已提现
14082,DD20170809144958874FCBA938AFF,E43A6E078A04134,3.5,3.5,东鹏特饮,2017/6/8 9:03,B,已出货未退款,已提现
14084,DD201708167493650175509962054,E43A6E078A04134,4.5,4.5,250ML东鹏特饮,2017/6/8 9:05,B,已出货未退款,已提现
14087,DD201708167493503191063975723,E43A6E078A04134,3.5,3.5,85g新麦潮手撕面包（提子味）,2017/6/8 9:08,B,已出货未退款,已提现
14088,DD20170525080346857E8B8CA6BAC,E43A6E078A04134,4.0,4.0,阿萨姆奶茶,2017/6/8 9:08,B,已出货未退款,已提现
14089,DD201708167493503186720141743,E43A6E078A04134,4.0,4.0,美汁源果粒橙,2017/6/8 9:08,B,已出货未退款,已提现
14092,DD201708167493239066977564964,E43A6E078A04134,2.5,2.5,250ml维他奶巧克力味,2017/6/8 9:21,B,已出货未退款,已提现
14093,DD2017051922360316CC16C09867F,E43A6E078A04134,3.0,3.0,雪碧（500ml）,2017/6/8 9:24,B,已出货未退款,已提现
14112,DD201708167493239302540865161,E43A6E078A04134,2.5,2.5,250ml维他原味豆奶,2017/6/8 9:55,B,已出货未退款,已提现
14113,DD201708167493239313973330314,E43A6E078A04134,0.5,0.5,10g卫龙亲嘴烧香辣味,2017/6/8 10:44,B,已出货未退款,已提现
14114,DD201708167493239315440471241,E43A6E078A04134,1.8,1.8,32g卫龙亲嘴烧,2017/6/8 10:53,B,已出货未退款,已提现
14126,DD201708167493473408828367105,E43A6E078A04134,4.5,4.5,250ml燕塘甜牛奶,2017/6/8 12:26,B,已出货未退款,已提现
14127,DD2017080914472418BFB7771C77B,E43A6E078A04134,4.5,4.5,脉动,2017/6/8 12:26,B,已出货未退款,已提现
14132,DD201708167493542396826887551,E43A6E078A04134,4.5,4.5,12g劲仔小鱼麻辣味,2017/6/8 12:43,B,已出货未退款,已提现
14145,DD201708167493649700921588848,E43A6E078A04134,4.5,4.5,500ml加多宝,2017/6/8 13:31,B,已出货未退款,已提现
14147,DD201708167493769497209872945,E43A6E078A04134,3.0,3.0,40g双汇玉米热狗肠,2017/6/8 13:33,B,已出货未退款,已提现
14148,DD201708091348047245652D7094F,E43A6E078A04134,3.5,3.5,可口可乐330ml,2017/6/8 13:33,B,已出货未退款,已提现
14155,DD201708167493239769279424279,E43A6E078A04134,1.8,1.8,32g卫龙亲嘴烧,2017/6/8 14:07,B,已出货未退款,已提现
14156,DD2017032618085684EF65D68B160,E43A6E078A04134,2.5,2.5,芬达330ml,2017/6/8 14:08,B,已出货未退款,已提现
14172,DD201708167493649629585902966,E43A6E078A04134,9.0,9.0,250ml燕塘红枣牛奶,2017/6/8 15:52,B,已出货未退款,已提现
14173,DD2017080420463150C8552B44E04,E43A6E078A04134,4.0,4.0,王老吉（罐）,2017/6/8 15:54,B,已出货未退款,已提现
14177,DD201708167493599106523402324,E43A6E078A04134,4.0,4.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/6/8 16:02,B,已出货未退款,已提现
14179,DD201708167493240450031290274,E43A6E078A04134,2.5,2.5,250ml维他柠檬茶,2017/6/8 16:05,B,已出货未退款,已提现
14180,DD201708167493810868421052432,E43A6E078A04134,2.8,2.8,250ml维他原味豆奶,2017/6/8 16:06,B,已出货未退款,已提现
14181,DD20170809134702459275D6467E5,E43A6E078A04134,3.0,3.0,雪碧330ml,2017/6/8 16:06,B,已出货未退款,已提现
14185,DD201708167493786957831455346,E43A6E078A04134,3.0,3.0,250ml维他柠檬茶,2017/6/8 16:10,B,已出货未退款,已提现
14186,DD201708052339534740ACADE4BA7,E43A6E078A04134,5.0,5.0,营养快线,2017/6/8 16:10,B,已出货未退款,已提现
14187,DD201708167493598606809122492,E43A6E078A04134,1.8,1.8,32g卫龙亲嘴烧红烧牛肉味,2017/6/8 16:11,B,已出货未退款,已提现
14189,DD2017052213024628D0F32312E19,E43A6E078A04134,2.5,2.5,美年达（罐）,2017/6/8 16:13,B,已出货未退款,已提现
14190,DD201708167493507840062970128,E43A6E078A04134,2.0,2.0,85g新麦潮手撕面包（提子味）,2017/6/8 16:21,B,已出货未退款,已提现
14191,DD201708167493240479031215276,E43A6E078A04134,3.0,3.0,250ml维他原味豆奶,2017/6/8 16:22,B,已出货未退款,已提现
14197,DD2017032618123547CB624F66B7A,E43A6E078A04134,2.0,2.0,雪力矿泉水,2017/6/8 16:29,B,已出货未退款,已提现
14205,DD2017080420461318C0C2C1F7582,E43A6E078A04134,4.0,4.0,可口可乐（500ml）,2017/6/8 16:51,B,已出货未退款,已提现
14208,DD2017080420403691C30A810BED2,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/6/8 17:09,B,已出货未退款,已提现
